productId,familyName,colour,oldSku,newSku,demo
45,Jewelry Roses - Display,Red,ENR-ROSE-DIAMONDS-WITHIN-DISPLAY-RED,DIAM-D-RD,False
46,Jewelry Roses - Display,Cherry Pink,ENR-ROSE-DIAMONDS-WITHIN-DISPLAY-CHERRY-PINK,DIAM-D-CP,False
47,Jewelry Roses - Display,Navy,ENR-ROSE-DIAMONDS-WITHIN-DISPLAY-NAVY,DIAM-D-NV,False
48,Jewelry Roses - Display,White,ENR-ROSE-DIAMONDS-WITHIN-DISPLAY-WHITE,DIAM-D-WH,False
49,12 Steelrozen - Display,Red,ENR-PRESERVED-SINGLE-ROSE-IN-DISPLAY-RED,STEM-SLV-RD,False
50,12 Steelrozen - Display,Pink,ENR-PRESERVED-SINGLE-ROSE-IN-DISPLAY-PINK,STEM-SLV-PK,False
51,12 Steelrozen - Display,Navy,ENR-PRESERVED-SINGLE-ROSE-IN-DISPLAY-BLUE,STEM-SLV-NV,False
52,12 Steelrozen - Display,White,ENR-PRESERVED-SINGLE-ROSE-IN-DISPLAY-WHITE,STEM-SLV-WH,False
53,Bowl Rozen M - Display,Red,ENR-PRESERVED-BOWL-ROSE-RED,BOWL-M-RD,False
54,Bowl Rozen M - Display,Pink,ENR-PRESERVED-BOWL-ROSE-PINK,BOWL-M-PK,False
55,Bowl Rozen M - Display,White,ENR-PRESERVED-BOWL-ROSE-WHITE,BOWL-M-WH,False
56,Bowl Rozen M - Display,Navy,ENR-PRESERVED-BOWL-ROSE-BLUE,BOWL-M-NV,False
57,Bowl Rozen XL - Display,Red,ENR-BOWL-ROSE-XL-RED,BOWL-XL-RD,False
58,Bowl Rozen XL - Display,Cherry Pink,ENR-BOWL-ROSE-XL-CHERRY-PINK,BOWL-XL-CP,False
59,Bowl Rozen XL - Display,Navy,ENR-BOWL-ROSE-XL-NAVY,BOWL-XL-NV,False
60,Bowl Rozen XL - Display,White,ENR-BOWL-ROSE-XL-WHITE,BOWL-XL-WH,False
61,Rose In Dome - 12*25,Red,ENR-COBALT-BLUE-ROOS-IN-GLAZEN-STOLP-RED,DOM-12X25-RD,False
62,Rose In Dome - 12*25,Cherry Pink,ENR-COBALT-BLUE-ROOS-IN-GLAZEN-STOLP-CHERRY-PINK,DOM-12X25-CP,False
63,Rose In Dome - 12*25,Navy,ENR-COBALT-BLUE-ROOS-IN-GLAZEN-STOLP-NAVY,DOM-12X25-NV,False
64,Rose In Dome - 12*25,White,ENR-COBALT-BLUE-ROOS-IN-GLAZEN-STOLP-WHITE,DOM-12X25-WH,False
65,Roos in spiegeldoos,Red,ENR-SINGLE-ROSE-IN-ACRYL-GLASS-BOX-RED,MIR-RD,False
66,Acryl Rose,Navy,ENR-ONE-ROSE-IN-BOX-NAVY,ACR-NV,False
67,Acryl Rose,Red,ENR-ONE-ROSE-IN-BOX-RED,ACR-RD,False
68,Acryl Rose,Cherry Pink,ENR-ONE-ROSE-IN-BOX-CHERRY-PINK,ACR-CP,False
69,16 rozen in hartvormig spiegeldoos,Red,ENR-HEARTH-GLASS-FLOWERBOX-RED,HRT16-RD,False
70,Flowerbox - 16 Roses,Red,ENR-ROSES-IN-BOX-16PCS-RED,BOX16-RD,False
71,Flowerbox - 16 Roses,Light Blue,ENR-ROSES-IN-BOX-16PCS-LIGHT-BLUE,BOX16-LB,False
72,Flowerbox - 16 Roses,Cherry Pink,ENR-ROSES-IN-BOX-16PCS-CHERRY-PINK,BOX16-CP,False
73,Rose In Dome - 15x30 Tripple,Red,ENR-ROSE-IN-DOME-ELITE-RED,DOM-15X30-3R-RD,False
74,Flowerbox - 9 Roses,Red,ENR-ROSES-IN-BOX-9PCS-RED,BOX9-RD,False
75,Flowerbox - 9 Roses,Light Blue,ENR-ROSES-IN-BOX-9PCS-LIGHT-BLUE,BOX9-LB,False
76,Flowerbox - 9 Roses,Cherry Pink,ENR-ROSES-IN-BOX-9PCS-CHERRY-PINK,BOX9-CP,False
77,Elegance Flower Cube,Red,ENR-ACRYLIC-FLOWERBOX-RED,CUBE-RD,False
81,16 rozen in hartvorm,Red,ENR-GLASS-FLOWERBOX-RED,FRAME16-RD,False
82,Rose In Dome - 12*20,Red,ENR-ROSE-IN-DOME-XL-RED,DOM-12X20-RD,False
83,Rose In Dome - 12*20,Navy,ENR-ROSE-IN-DOME-XL-NAVY,DOM-12X20-NV,False
84,Rose In Dome - 12*20,Cherry Pink,ENR-ROSE-IN-DOME-XL-CHERRY-PINK,DOM-12X20-CP,False
85,Rose In Dome - 12*20,White,ENR-ROSE-IN-DOME-XL-WHITE,DOM-12X20-WH,False
86,Diamand Roos,Red,ENR-DIAMOND-ROSE-RED,DIAM-XL-RD,False
87,Soaproos in vensterdoos,Rood,ENR-SOAPROOS-IN-VENSTERDOOS-DEFAULT,SOAP-WIN-RD,False
88,Soaprozen met LED,Red,ENR-SOAP-ROSE-BOX-LED-RED,SOAP-LED-RD,False
