key;nl;fr;en;de;es;pl;pt;tr;el
Rood;Rood;Rouge;Red;Rot;Rojo;Czerwony;Vermelho;Kırmızı;Κόκκινο
Roze;Roze;Rose;Pink;Rosa;Rosa;Różowy;Cor-de-rosa;Pembe;Ροζ
Fuchsia;Fuchsia;Fuchsia;Fuchsia;Fuchsia;Fucsia;Fuksja;Fúcsia;Fuşya;Φούξια
Bordeaux;Bordeaux;Bordeaux;Burgundy;Bordeauxrot;Burdeos;Bordowy;Bordô;Bordo;Μπορντό
Wit;Wit;Blanc;White;Weiß;Blanco;Biały;Branco;Beyaz;Λευκό
Ivoor;Ivoor;Ivoire;Ivory;Elfenbein;Marfil;Kość słoniowa;Marfim;Fildişi;Ιβουάρ
Champagne;Champagne;Champagne;Champagne;Champagner;Champán;Szampański;Champanhe;Şampanya;Σαμπανί
Geel;Geel;Jaune;Yellow;Gelb;Amarillo;Żółty;Amarelo;Sarı;Κίτρινο
Oranje;Oranje;Orange;Orange;Orange;Naranja;Pomarańczowy;Laranja;Turuncu;Πορτοκαλί
Groen;Groen;Vert;Green;Grün;Verde;Zielony;Verde;Yeşil;Πράσινο
Blauw;Blauw;Bleu;Blue;Blau;Azul;Niebieski;Azul;Mavi;Μπλε
Paars;Paars;Violet;Purple;Violett;Morado;Fioletowy;Roxo;Mor;Μωβ
Lila;Lila;Lilas;Lilac;Flieder;Lila;Liliowy;Lilás;Lila;Λιλά
Zwart;Zwart;Noir;Black;Schwarz;Negro;Czarny;Preto;Siyah;Μαύρο
Grijs;Grijs;Gris;Grey;Grau;Gris;Szary;Cinzento;Gri;Γκρι
Zilver;Zilver;Argent;Silver;Silber;Plata;Srebrny;Prateado;Gümüş;Ασημί
Goud;Goud;Or;Gold;Gold;Dorado;Złoty;Dourado;Altın;Χρυσό
Gemengd;Gemengd;Assorti;Mixed;Gemischt;Surtido;Mieszany;Sortido;Karışık;Ανάμεικτα
