scope;key;label;required;nl;fr;en;de;es;pl;pt;tr;el
CATALOG;catalog.brand.wholesale;Wholesale label;true;GROOTHANDEL;VENTE EN GROS;WHOLESALE;GROSSHANDEL;VENTA AL POR MAYOR;HURT;GROSSISTA;TOPTAN;ΧΟΝΔΡΙΚΗ
CATALOG;catalog.common.imageunavailable;Image unavailable;true;Afbeelding niet beschikbaar;Image indisponible;Product image unavailable;Produktbild nicht verfügbar;Imagen de producto no disponible;Zdjęcie produktu niedostępne;Imagem do produto indisponível;Ürün görseli mevcut değil;Δεν υπάρχει διαθέσιμη εικόνα προϊόντος
CATALOG;catalog.common.product;Product label;true;Product;Produit;Product;Produkt;Producto;Produkt;Produto;Ürün;Προϊόν
CATALOG;catalog.common.carton;Carton label;true;Omdoos;Carton;Carton;Umkarton;Caja;Karton;Caixa;Koli;Κιβώτιο
CATALOG;catalog.common.pack;Pack label;true;Verpakking;Conditionnement;Pack;Packung;Embalaje;Opakowanie;Embalagem;Paket;Συσκευασία
CATALOG;catalog.common.pieces;Pieces abbreviation;true;st.;pcs;pcs;Stk.;uds.;szt.;un.;adet;τεμ.
CATALOG;catalog.common.collection;Collection fallback;true;Collectie;Collection;Collection;Kollektion;Colección;Kolekcja;Coleção;Koleksiyon;Συλλογή
CATALOG;catalog.common.outercarton;Outer carton;true;Omdoos;Carton extérieur;Outer carton;Umkarton;Caja exterior;Karton zbiorczy;Caixa exterior;Dış koli;Εξωτερικό κιβώτιο
CATALOG;catalog.common.colorsize;Colour and size;true;Kleur / maat;Couleur / taille;Colour / size;Farbe / Größe;Color / tamaño;Kolor / rozmiar;Cor / tamanho;Renk / boyut;Χρώμα / μέγεθος
CATALOG;catalog.common.productdimensions;Product dimensions;true;Product B × D × H;Produit B × D × H;Product B × D × H;Produkt B × D × H;Producto B × D × H;Produkt B × D × H;Produto B × D × H;Ürün B × D × H;Προϊόν Π × Β × Υ
CATALOG;catalog.common.outercartonpack;Outer carton and pack;true;Omdoos / verpakking;Carton extérieur / conditionnement;Outer carton / pack;Umkarton / Packung;Caja exterior / embalaje;Karton zbiorczy / opakowanie;Caixa exterior / embalagem;Dış koli / paket;Εξωτερικό κιβώτιο / συσκευασία
CATALOG;catalog.common.family.singular;Family singular;true;FAMILIE;FAMILLE;FAMILY;FAMILIE;FAMILIA;RODZINA;FAMÍLIA;AİLE;ΣΕΙΡΑ
CATALOG;catalog.common.family.plural;Family plural;true;FAMILIES;FAMILLES;FAMILIES;FAMILIEN;FAMILIAS;RODZINY;FAMÍLIAS;AİLELER;ΣΕΙΡΕΣ
CATALOG;catalog.common.variant.singular;Variant singular;true;UITVOERING;VARIANTE;VARIANT;AUSFÜHRUNG;VARIANTE;WARIANT;VARIANTE;VARYANT;ΠΑΡΑΛΛΑΓΗ
CATALOG;catalog.common.variant.plural;Variants plural;true;UITVOERINGEN;VARIANTES;VARIANTS;AUSFÜHRUNGEN;VARIANTES;WARIANTY;VARIANTES;VARYANTLAR;ΠΑΡΑΛΛΑΓΕΣ
CATALOG;catalog.common.selectedfamily.singular;Product family singular;true;productfamilie;famille de produits;product family;Produktfamilie;familia de productos;rodzina produktów;família de produtos;ürün ailesi;σειρά προϊόντων
CATALOG;catalog.common.selectedfamily.plural;Product families plural;true;productfamilies;familles de produits;product families;Produktfamilien;familias de productos;rodziny produktów;famílias de produtos;ürün aileleri;σειρές προϊόντων
CATALOG;catalog.simple.title;Simple catalogue title;true;Groothandelscatalogus;Catalogue grossiste;Wholesale Catalogue;Großhandelskatalog;Catálogo mayorista;Katalog hurtowy;Catálogo grossista;Toptan Katalog;Κατάλογος χονδρικής
CATALOG;catalog.simple.vatnumber;VAT number label;true;BTW-nummer;N° de TVA;VAT number;USt-IdNr.;NIF-IVA;NIP;NIF;Vergi numarası;Αριθμός ΦΠΑ
CATALOG;catalog.simple.item.singular;Simple item singular;true;artikel;article;item;Artikel;artículo;artykuł;artigo;ürün;είδος
